"";"spol";"regija";"leto";"kriterij";"umrli"
"297";"M";"LJ";"2020";"povprecna.starost.umrlega";76,5
"298";"M";"KR";"2010";"umrli.na.1000.prebivalcev";8,8
"299";"M";"KR";"2010";"umrli.dojencki.na.1000.zivorojenih";2,4
"300";"M";"KR";"2010";"povprecna.starost.umrlega";71,1
"301";"M";"KR";"2011";"umrli.na.1000.prebivalcev";8,5
"302";"M";"KR";"2011";"umrli.dojencki.na.1000.zivorojenih";1,7
"303";"M";"KR";"2011";"povprecna.starost.umrlega";71,8
"304";"M";"KR";"2012";"umrli.na.1000.prebivalcev";8,5
"305";"M";"KR";"2012";"umrli.dojencki.na.1000.zivorojenih";1,6
"306";"M";"KR";"2012";"povprecna.starost.umrlega";72,1
"307";"M";"KR";"2013";"umrli.na.1000.prebivalcev";8,5
"308";"M";"KR";"2013";"umrli.dojencki.na.1000.zivorojenih";7,7
"309";"M";"KR";"2013";"povprecna.starost.umrlega";72,6
"310";"M";"KR";"2014";"umrli.na.1000.prebivalcev";8,5
"311";"M";"KR";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"312";"M";"KR";"2014";"povprecna.starost.umrlega";72,4
"313";"M";"KR";"2015";"umrli.na.1000.prebivalcev";8,6
"314";"M";"KR";"2015";"umrli.dojencki.na.1000.zivorojenih";0,9
"315";"M";"KR";"2015";"povprecna.starost.umrlega";74
"316";"M";"KR";"2016";"umrli.na.1000.prebivalcev";8,7
"317";"M";"KR";"2016";"umrli.dojencki.na.1000.zivorojenih";1
"318";"M";"KR";"2016";"povprecna.starost.umrlega";74,3
"319";"M";"KR";"2017";"umrli.na.1000.prebivalcev";9,5
"320";"M";"KR";"2017";"umrli.dojencki.na.1000.zivorojenih";2,7
"321";"M";"KR";"2017";"povprecna.starost.umrlega";74,8
"322";"M";"KR";"2018";"umrli.na.1000.prebivalcev";9,1
"323";"M";"KR";"2018";"umrli.dojencki.na.1000.zivorojenih";2,8
"324";"M";"KR";"2018";"povprecna.starost.umrlega";74,6
"325";"M";"KR";"2019";"umrli.na.1000.prebivalcev";8,9
"326";"M";"KR";"2019";"umrli.dojencki.na.1000.zivorojenih";1,9
"327";"M";"KR";"2019";"povprecna.starost.umrlega";74,9
"328";"M";"KR";"2020";"umrli.na.1000.prebivalcev";10,7
"329";"M";"KR";"2020";"umrli.dojencki.na.1000.zivorojenih";3
"330";"M";"KR";"2020";"povprecna.starost.umrlega";76,4
"331";"M";"PO";"2010";"umrli.na.1000.prebivalcev";9,6
"332";"M";"PO";"2010";"umrli.dojencki.na.1000.zivorojenih";3,3
"333";"M";"PO";"2010";"povprecna.starost.umrlega";73
"334";"M";"PO";"2011";"umrli.na.1000.prebivalcev";8,1
"335";"M";"PO";"2011";"umrli.dojencki.na.1000.zivorojenih";10,3
"336";"M";"PO";"2011";"povprecna.starost.umrlega";72,2
"337";"M";"PO";"2012";"umrli.na.1000.prebivalcev";10,1
"338";"M";"PO";"2012";"umrli.dojencki.na.1000.zivorojenih";3,4
"339";"M";"PO";"2012";"povprecna.starost.umrlega";71,4
"340";"M";"PO";"2013";"umrli.na.1000.prebivalcev";10,2
"341";"M";"PO";"2013";"umrli.dojencki.na.1000.zivorojenih";13,3
"342";"M";"PO";"2013";"povprecna.starost.umrlega";72,6
"343";"M";"PO";"2014";"umrli.na.1000.prebivalcev";9,7
"344";"M";"PO";"2014";"umrli.dojencki.na.1000.zivorojenih";0
"345";"M";"PO";"2014";"povprecna.starost.umrlega";74,9
"346";"M";"PO";"2015";"umrli.na.1000.prebivalcev";10,9
"347";"M";"PO";"2015";"umrli.dojencki.na.1000.zivorojenih";3,5
"348";"M";"PO";"2015";"povprecna.starost.umrlega";74,8
"349";"M";"PO";"2016";"umrli.na.1000.prebivalcev";10,2
"350";"M";"PO";"2016";"umrli.dojencki.na.1000.zivorojenih";3,8
"351";"M";"PO";"2016";"povprecna.starost.umrlega";73,1
"352";"M";"PO";"2017";"umrli.na.1000.prebivalcev";9,9
"353";"M";"PO";"2017";"umrli.dojencki.na.1000.zivorojenih";0
"354";"M";"PO";"2017";"povprecna.starost.umrlega";76,3
"355";"M";"PO";"2018";"umrli.na.1000.prebivalcev";10,1
"356";"M";"PO";"2018";"umrli.dojencki.na.1000.zivorojenih";0
"357";"M";"PO";"2018";"povprecna.starost.umrlega";75,4
"358";"M";"PO";"2019";"umrli.na.1000.prebivalcev";10,3
"359";"M";"PO";"2019";"umrli.dojencki.na.1000.zivorojenih";7,7
"360";"M";"PO";"2019";"povprecna.starost.umrlega";74,3
"361";"M";"PO";"2020";"umrli.na.1000.prebivalcev";11,1
"362";"M";"PO";"2020";"umrli.dojencki.na.1000.zivorojenih";7,7
"363";"M";"PO";"2020";"povprecna.starost.umrlega";75,2
"364";"M";"NG";"2010";"umrli.na.1000.prebivalcev";9,2
"365";"M";"NG";"2010";"umrli.dojencki.na.1000.zivorojenih";2,9
"366";"M";"NG";"2010";"povprecna.starost.umrlega";73
"367";"M";"NG";"2011";"umrli.na.1000.prebivalcev";9,3
"368";"M";"NG";"2011";"umrli.dojencki.na.1000.zivorojenih";2,9
"369";"M";"NG";"2011";"povprecna.starost.umrlega";73,9
"370";"M";"NG";"2012";"umrli.na.1000.prebivalcev";11
"371";"M";"NG";"2012";"umrli.dojencki.na.1000.zivorojenih";0
"372";"M";"NG";"2012";"povprecna.starost.umrlega";73,1
"373";"M";"NG";"2013";"umrli.na.1000.prebivalcev";10,6
"374";"M";"NG";"2013";"umrli.dojencki.na.1000.zivorojenih";1,6
"375";"M";"NG";"2013";"povprecna.starost.umrlega";73,8
"376";"M";"NG";"2014";"umrli.na.1000.prebivalcev";10
"377";"M";"NG";"2014";"umrli.dojencki.na.1000.zivorojenih";5
"378";"M";"NG";"2014";"povprecna.starost.umrlega";73,3
"379";"M";"NG";"2015";"umrli.na.1000.prebivalcev";9,8
"380";"M";"NG";"2015";"umrli.dojencki.na.1000.zivorojenih";0
"381";"M";"NG";"2015";"povprecna.starost.umrlega";73,9
"382";"M";"NG";"2016";"umrli.na.1000.prebivalcev";10,2
"383";"M";"NG";"2016";"umrli.dojencki.na.1000.zivorojenih";1,7
"384";"M";"NG";"2016";"povprecna.starost.umrlega";74,2
"385";"M";"NG";"2017";"umrli.na.1000.prebivalcev";10,9
"386";"M";"NG";"2017";"umrli.dojencki.na.1000.zivorojenih";1,8
"387";"M";"NG";"2017";"povprecna.starost.umrlega";74,6
"388";"M";"NG";"2018";"umrli.na.1000.prebivalcev";10,6
"389";"M";"NG";"2018";"umrli.dojencki.na.1000.zivorojenih";1,8
"390";"M";"NG";"2018";"povprecna.starost.umrlega";74,9
