"";"obcina";"leto";"spol";"stevilo.umrlih"
"666";"Dobrna";"2017";"Z";8
"667";"Dobrna";"2018";"M";15
"668";"Dobrna";"2018";"Z";15
"669";"Dobrna";"2019";"M";10
"670";"Dobrna";"2019";"Z";8
"671";"Dobrna";"2020";"M";11
"672";"Dobrna";"2020";"Z";11
"673";"Dobrova - Polhov Gradec";"2010";"M";27
"674";"Dobrova - Polhov Gradec";"2010";"Z";21
"675";"Dobrova - Polhov Gradec";"2011";"M";22
"676";"Dobrova - Polhov Gradec";"2011";"Z";21
"677";"Dobrova - Polhov Gradec";"2012";"M";22
"678";"Dobrova - Polhov Gradec";"2012";"Z";22
"679";"Dobrova - Polhov Gradec";"2013";"M";28
"680";"Dobrova - Polhov Gradec";"2013";"Z";26
"681";"Dobrova - Polhov Gradec";"2014";"M";22
"682";"Dobrova - Polhov Gradec";"2014";"Z";26
"683";"Dobrova - Polhov Gradec";"2015";"M";25
"684";"Dobrova - Polhov Gradec";"2015";"Z";18
"685";"Dobrova - Polhov Gradec";"2016";"M";21
