"";"drzava";"leto";"umrli";"vrednost.bdp"
"400";"ROU";2019;"ni.podatka";"32317.038169"
"401";"RUS";2010;"22.5";"22008.299275"
"402";"RUS";2011;"21";"22798.673917"
"403";"RUS";2012;"20";"24303.491049"
"404";"RUS";2013;"19.3";"26073.873547"
"405";"RUS";2014;"17.9";"25761.66151"
"406";"RUS";2015;"16.9";"24085.312853"
"407";"RUS";2016;"ni.podatka";"24128.081806"
"408";"RUS";2017;"ni.podatka";"25926.431403"
"409";"RUS";2018;"ni.podatka";"28681.779438"
"410";"RUS";2019;"11.5";"29188.845686"
"411";"SVK";2010;"11.3";"25141.82601"
"412";"SVK";2011;"ni.podatka";"26147.239673"
"413";"SVK";2012;"10.2";"26894.994483"
"414";"SVK";2013;"10.9";"27917.45727"
"415";"SVK";2014;"9.7";"28930.034071"
"416";"SVK";2015;"ni.podatka";"29972.9225"
"417";"SVK";2016;"ni.podatka";"29645.701303"
"418";"SVK";2017;"ni.podatka";"30066.187534"
"419";"SVK";2018;"ni.podatka";"31535.3008"
"420";"SVK";2019;"ni.podatka";"32613.732521"
"421";"SVN";2010;"18.6";"27844.90244"
"422";"SVN";2011;"19.3";"28931.423641"
"423";"SVN";2012;"19.3";"29048.325999"
"424";"SVN";2013;"19.6";"29979.618841"
"425";"SVN";2014;"16.9";"30872.72888"
"426";"SVN";2015;"18.1";"31631.838376"
"427";"SVN";2016;"16.3";"33942.76789"
"428";"SVN";2017;"17.3";"36517.579273"
"429";"SVN";2018;"15.1";"38953.468586"
"430";"SVN";2019;"16.5";"41184.960119"
"431";"SWE";2010;"11.7";"42256.280065"
"432";"SWE";2011;"11.4";"44608.643898"
"433";"SWE";2012;"11.6";"45432.306926"
"434";"SWE";2013;"12.3";"46312.293685"
"435";"SWE";2014;"11.4";"47184.719403"
"436";"SWE";2015;"11.7";"49103.0618"
"437";"SWE";2016;"11.1";"50430.174559"
"438";"SWE";2017;"11.4";"51947.942867"
"439";"SWE";2018;"12.2";"53553.312077"
"440";"SWE";2019;"ni.podatka";"55337.872219"
"441";"TUR";2010;"2.4";"17359.967189"
"442";"TUR";2011;"1.7";"19590.858369"
"443";"TUR";2012;"2.1";"20627.440729"
"444";"TUR";2013;"2.6";"22373.136543"
"445";"TUR";2014;"2.3";"24104.984583"
"446";"TUR";2015;"2.1";"25855.912681"
"447";"TUR";2016;"2.6";"26695.909373"
"448";"TUR";2017;"ni.podatka";"28193.061398"
"449";"TUR";2018;"ni.podatka";"28266.686871"
"450";"TUR";2019;"4.4";"27584.46933"
"451";"USA";2010;"12.5";"48580.481254"
"452";"USA";2011;"12.8";"49997.535335"
"453";"USA";2012;"13";"51729.310147"
"454";"USA";2013;"13.1";"53241.104196"
"455";"USA";2014;"13.5";"55081.542599"
"456";"USA";2015;"13.8";"56731.074605"
"457";"USA";2016;"14";"57846.274282"
"458";"USA";2017;"14.5";"59896.756042"
"459";"USA";2018;"ni.podatka";"62783.978541"
"460";"USA";2019;"ni.podatka";"65055.785369"
"461";"ZAF";2010;"0.9";"11795.411488"
"462";"ZAF";2011;"0.8";"12272.385595"
"463";"ZAF";2012;"1.1";"12186.131656"
"464";"ZAF";2013;"1.3";"12616.606378"
"465";"ZAF";2014;"1.2";"12717.613064"
"466";"ZAF";2015;"1";"12772.251817"
"467";"ZAF";2016;"ni.podatka";"12827.603574"
"468";"ZAF";2017;"ni.podatka";"12952.21634"
"469";"ZAF";2018;"ni.podatka";"13198.249784"
"470";"ZAF";2019;"ni.podatka";"13285.683324"
