"";"spol";"starostne.skupine";"leto";"vzrok";"stevilo.umrlih"
"399";"M";"55-59";2010;"druge.nezgode";38
"400";"M";"55-59";2010;"samomori";32
"401";"M";"55-59";2011;"transportne.nezgode";11
"402";"M";"55-59";2011;"padci";14
"403";"M";"55-59";2011;"druge.nezgode";30
"404";"M";"55-59";2011;"samomori";38
"405";"M";"55-59";2012;"transportne.nezgode";12
"406";"M";"55-59";2012;"padci";14
"407";"M";"55-59";2012;"druge.nezgode";24
"408";"M";"55-59";2012;"samomori";46
"409";"M";"55-59";2013;"transportne.nezgode";7
"410";"M";"55-59";2013;"padci";16
"411";"M";"55-59";2013;"druge.nezgode";24
"412";"M";"55-59";2013;"samomori";44
"413";"M";"55-59";2014;"transportne.nezgode";6
"414";"M";"55-59";2014;"padci";11
"415";"M";"55-59";2014;"druge.nezgode";13
"416";"M";"55-59";2014;"samomori";35
"417";"M";"55-59";2015;"transportne.nezgode";8
"418";"M";"55-59";2015;"padci";7
"419";"M";"55-59";2015;"druge.nezgode";18
"420";"M";"55-59";2015;"samomori";35
"421";"M";"55-59";2016;"transportne.nezgode";14
"422";"M";"55-59";2016;"padci";7
"423";"M";"55-59";2016;"druge.nezgode";21
"424";"M";"55-59";2016;"samomori";29
"425";"M";"55-59";2017;"transportne.nezgode";10
"426";"M";"55-59";2017;"padci";4
"427";"M";"55-59";2017;"druge.nezgode";15
"428";"M";"55-59";2017;"samomori";43
"429";"M";"55-59";2018;"transportne.nezgode";6
"430";"M";"55-59";2018;"padci";11
"431";"M";"55-59";2018;"druge.nezgode";17
"432";"M";"55-59";2018;"samomori";23
"433";"M";"55-59";2019;"transportne.nezgode";9
"434";"M";"55-59";2019;"padci";10
"435";"M";"55-59";2019;"druge.nezgode";25
"436";"M";"55-59";2019;"samomori";30
"437";"M";"55-59";2020;"transportne.nezgode";5
"438";"M";"55-59";2020;"padci";11
"439";"M";"55-59";2020;"druge.nezgode";12
"440";"M";"55-59";2020;"samomori";21
"441";"M";"60-64";2010;"transportne.nezgode";6
"442";"M";"60-64";2010;"padci";20
"443";"M";"60-64";2010;"druge.nezgode";30
"444";"M";"60-64";2010;"samomori";31
"445";"M";"60-64";2011;"transportne.nezgode";10
"446";"M";"60-64";2011;"padci";14
